"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","561","Login with correct email and password","LMS service","Tue Mar 24 16:48:44 UTC 2026","passed","Tue Mar 24 16:48:44 UTC 2026","Login","Authentication","",""
"","21","Get exercises","LMS service","Tue Mar 24 16:48:49 UTC 2026","passed","Tue Mar 24 16:48:49 UTC 2026","Get entities","Exercises","",""
"","290","Update exercise","LMS service","Tue Mar 24 16:48:47 UTC 2026","passed","Tue Mar 24 16:48:47 UTC 2026","Update entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Tue Mar 24 16:48:51 UTC 2026","passed","Tue Mar 24 16:48:51 UTC 2026","Validate entity","Files","",""
"","34","Create course","LMS service","Tue Mar 24 16:48:46 UTC 2026","passed","Tue Mar 24 16:48:46 UTC 2026","Get entity","Courses","",""
"","270","Create file with empty directory","LMS service","Tue Mar 24 16:48:52 UTC 2026","passed","Tue Mar 24 16:48:52 UTC 2026","Validate entity","Files","",""
"","27","Create exercise","LMS service","Tue Mar 24 16:48:47 UTC 2026","passed","Tue Mar 24 16:48:47 UTC 2026","Create entity","Exercises","",""
"","18","Get file","LMS service","Tue Mar 24 16:48:50 UTC 2026","passed","Tue Mar 24 16:48:50 UTC 2026","Get entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Tue Mar 24 16:48:52 UTC 2026","passed","Tue Mar 24 16:48:53 UTC 2026","Validate entity","Files","",""
"","24","Delete file","LMS service","Tue Mar 24 16:48:51 UTC 2026","passed","Tue Mar 24 16:48:51 UTC 2026","Delete entity","Files","",""
"","23","Get exercise","LMS service","Tue Mar 24 16:48:48 UTC 2026","passed","Tue Mar 24 16:48:48 UTC 2026","Get entity","Exercises","",""
"","557","Create user","LMS service","Tue Mar 24 16:48:53 UTC 2026","passed","Tue Mar 24 16:48:53 UTC 2026","Create entity","Users","",""
"","314","Update course","LMS service","Tue Mar 24 16:48:44 UTC 2026","passed","Tue Mar 24 16:48:45 UTC 2026","Update entity","Courses","",""
"","30","Get courses","LMS service","Tue Mar 24 16:48:45 UTC 2026","passed","Tue Mar 24 16:48:45 UTC 2026","Get entities","Courses","",""
"","15","Get user me","LMS service","Tue Mar 24 16:48:54 UTC 2026","passed","Tue Mar 24 16:48:54 UTC 2026","Get entity","Users","",""
"","549","Create user","LMS service","Tue Mar 24 16:48:52 UTC 2026","passed","Tue Mar 24 16:48:53 UTC 2026","Create entity","Users","",""
"","290","Delete exercise","LMS service","Tue Mar 24 16:48:48 UTC 2026","passed","Tue Mar 24 16:48:49 UTC 2026","Delete entity","Exercises","",""
"","263","Create file","LMS service","Tue Mar 24 16:48:49 UTC 2026","passed","Tue Mar 24 16:48:50 UTC 2026","Create entity","Files","",""
"","294","Create user","LMS service","Tue Mar 24 16:48:53 UTC 2026","passed","Tue Mar 24 16:48:53 UTC 2026","Create entity","Users","",""
