"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Create course","LMS service","Wed Apr 01 07:42:45 UTC 2026","passed","Wed Apr 01 07:42:45 UTC 2026","Get entity","Courses","",""
"","13","Get user me","LMS service","Wed Apr 01 07:42:53 UTC 2026","passed","Wed Apr 01 07:42:53 UTC 2026","Get entity","Users","",""
"","47","Get exercise","LMS service","Wed Apr 01 07:42:47 UTC 2026","passed","Wed Apr 01 07:42:47 UTC 2026","Get entity","Exercises","",""
"","20","Delete file","LMS service","Wed Apr 01 07:42:50 UTC 2026","passed","Wed Apr 01 07:42:50 UTC 2026","Delete entity","Files","",""
"","310","Update course","LMS service","Wed Apr 01 07:42:44 UTC 2026","passed","Wed Apr 01 07:42:44 UTC 2026","Update entity","Courses","",""
"","560","Create user","LMS service","Wed Apr 01 07:42:52 UTC 2026","passed","Wed Apr 01 07:42:52 UTC 2026","Create entity","Users","",""
"","293","Update exercise","LMS service","Wed Apr 01 07:42:46 UTC 2026","passed","Wed Apr 01 07:42:47 UTC 2026","Update entity","Exercises","",""
"","32","Get courses","LMS service","Wed Apr 01 07:42:45 UTC 2026","passed","Wed Apr 01 07:42:45 UTC 2026","Get entities","Courses","",""
"","23","Get exercises","LMS service","Wed Apr 01 07:42:48 UTC 2026","passed","Wed Apr 01 07:42:48 UTC 2026","Get entities","Exercises","",""
"","293","Create user","LMS service","Wed Apr 01 07:42:52 UTC 2026","passed","Wed Apr 01 07:42:52 UTC 2026","Create entity","Users","",""
"","287","Login with correct email and password","LMS service","Wed Apr 01 07:42:43 UTC 2026","passed","Wed Apr 01 07:42:43 UTC 2026","Login","Authentication","",""
"","265","Get file with incorrect file id","LMS service","Wed Apr 01 07:42:52 UTC 2026","passed","Wed Apr 01 07:42:52 UTC 2026","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Wed Apr 01 07:42:51 UTC 2026","passed","Wed Apr 01 07:42:51 UTC 2026","Validate entity","Files","",""
"","267","Create file with empty filename","LMS service","Wed Apr 01 07:42:50 UTC 2026","passed","Wed Apr 01 07:42:51 UTC 2026","Validate entity","Files","",""
"","258","Create file","LMS service","Wed Apr 01 07:42:49 UTC 2026","passed","Wed Apr 01 07:42:49 UTC 2026","Create entity","Files","",""
"","23","Create exercise","LMS service","Wed Apr 01 07:42:46 UTC 2026","passed","Wed Apr 01 07:42:46 UTC 2026","Create entity","Exercises","",""
"","543","Create user","LMS service","Wed Apr 01 07:42:51 UTC 2026","passed","Wed Apr 01 07:42:52 UTC 2026","Create entity","Users","",""
"","291","Delete exercise","LMS service","Wed Apr 01 07:42:48 UTC 2026","passed","Wed Apr 01 07:42:48 UTC 2026","Delete entity","Exercises","",""
"","14","Get file","LMS service","Wed Apr 01 07:42:50 UTC 2026","passed","Wed Apr 01 07:42:50 UTC 2026","Get entity","Files","",""
