"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Get courses","LMS service","Wed Apr 01 07:48:23 UTC 2026","passed","Wed Apr 01 07:48:23 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Wed Apr 01 07:48:31 UTC 2026","passed","Wed Apr 01 07:48:31 UTC 2026","Get entity","Users","",""
"","564","Create user","LMS service","Wed Apr 01 07:48:30 UTC 2026","passed","Wed Apr 01 07:48:31 UTC 2026","Create entity","Users","",""
"","21","Create file","LMS service","Wed Apr 01 07:48:27 UTC 2026","passed","Wed Apr 01 07:48:27 UTC 2026","Create entity","Files","",""
"","305","Update course","LMS service","Wed Apr 01 07:48:22 UTC 2026","passed","Wed Apr 01 07:48:22 UTC 2026","Update entity","Courses","",""
"","26","Delete file","LMS service","Wed Apr 01 07:48:28 UTC 2026","passed","Wed Apr 01 07:48:28 UTC 2026","Delete entity","Files","",""
"","256","Create file with empty filename","LMS service","Wed Apr 01 07:48:29 UTC 2026","passed","Wed Apr 01 07:48:29 UTC 2026","Validate entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Wed Apr 01 07:48:30 UTC 2026","passed","Wed Apr 01 07:48:30 UTC 2026","Validate entity","Files","",""
"","20","Create file with empty directory","LMS service","Wed Apr 01 07:48:29 UTC 2026","passed","Wed Apr 01 07:48:29 UTC 2026","Validate entity","Files","",""
"","21","Get exercise","LMS service","Wed Apr 01 07:48:25 UTC 2026","passed","Wed Apr 01 07:48:25 UTC 2026","Get entity","Exercises","",""
"","304","Create exercise","LMS service","Wed Apr 01 07:48:24 UTC 2026","passed","Wed Apr 01 07:48:24 UTC 2026","Create entity","Exercises","",""
"","528","Create user","LMS service","Wed Apr 01 07:48:29 UTC 2026","passed","Wed Apr 01 07:48:30 UTC 2026","Create entity","Users","",""
"","289","Login with correct email and password","LMS service","Wed Apr 01 07:48:21 UTC 2026","passed","Wed Apr 01 07:48:21 UTC 2026","Login","Authentication","",""
"","23","Update exercise","LMS service","Wed Apr 01 07:48:24 UTC 2026","passed","Wed Apr 01 07:48:24 UTC 2026","Update entity","Exercises","",""
"","293","Get exercises","LMS service","Wed Apr 01 07:48:26 UTC 2026","passed","Wed Apr 01 07:48:27 UTC 2026","Get entities","Exercises","",""
"","538","Create user","LMS service","Wed Apr 01 07:48:29 UTC 2026","passed","Wed Apr 01 07:48:29 UTC 2026","Create entity","Users","",""
"","22","Delete exercise","LMS service","Wed Apr 01 07:48:26 UTC 2026","passed","Wed Apr 01 07:48:26 UTC 2026","Delete entity","Exercises","",""
"","17","Get file","LMS service","Wed Apr 01 07:48:28 UTC 2026","passed","Wed Apr 01 07:48:28 UTC 2026","Get entity","Files","",""
"","33","Create course","LMS service","Wed Apr 01 07:48:23 UTC 2026","passed","Wed Apr 01 07:48:23 UTC 2026","Get entity","Courses","",""
