"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Create exercise","LMS service","Thu Apr 02 16:43:05 UTC 2026","passed","Thu Apr 02 16:43:05 UTC 2026","Create entity","Exercises","",""
"","20","Delete file","LMS service","Thu Apr 02 16:43:09 UTC 2026","passed","Thu Apr 02 16:43:09 UTC 2026","Delete entity","Files","",""
"","51","Get exercise","LMS service","Thu Apr 02 16:43:06 UTC 2026","passed","Thu Apr 02 16:43:06 UTC 2026","Get entity","Exercises","",""
"","261","Create file with empty filename","LMS service","Thu Apr 02 16:43:09 UTC 2026","passed","Thu Apr 02 16:43:10 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Thu Apr 02 16:43:12 UTC 2026","passed","Thu Apr 02 16:43:12 UTC 2026","Get entity","Users","",""
"","520","Create user","LMS service","Thu Apr 02 16:43:10 UTC 2026","passed","Thu Apr 02 16:43:11 UTC 2026","Create entity","Users","",""
"","556","Login with correct email and password","LMS service","Thu Apr 02 16:43:02 UTC 2026","passed","Thu Apr 02 16:43:03 UTC 2026","Login","Authentication","",""
"","20","Get exercises","LMS service","Thu Apr 02 16:43:07 UTC 2026","passed","Thu Apr 02 16:43:07 UTC 2026","Get entities","Exercises","",""
"","560","Create user","LMS service","Thu Apr 02 16:43:11 UTC 2026","passed","Thu Apr 02 16:43:11 UTC 2026","Create entity","Users","",""
"","32","Get courses","LMS service","Thu Apr 02 16:43:04 UTC 2026","passed","Thu Apr 02 16:43:04 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS service","Thu Apr 02 16:43:05 UTC 2026","passed","Thu Apr 02 16:43:05 UTC 2026","Update entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Thu Apr 02 16:43:11 UTC 2026","passed","Thu Apr 02 16:43:11 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Thu Apr 02 16:43:09 UTC 2026","passed","Thu Apr 02 16:43:09 UTC 2026","Get entity","Files","",""
"","531","Create user","LMS service","Thu Apr 02 16:43:10 UTC 2026","passed","Thu Apr 02 16:43:10 UTC 2026","Create entity","Users","",""
"","21","Delete exercise","LMS service","Thu Apr 02 16:43:06 UTC 2026","passed","Thu Apr 02 16:43:06 UTC 2026","Delete entity","Exercises","",""
"","18","Create file with empty directory","LMS service","Thu Apr 02 16:43:10 UTC 2026","passed","Thu Apr 02 16:43:10 UTC 2026","Validate entity","Files","",""
"","35","Update course","LMS service","Thu Apr 02 16:43:03 UTC 2026","passed","Thu Apr 02 16:43:03 UTC 2026","Update entity","Courses","",""
"","27","Create course","LMS service","Thu Apr 02 16:43:04 UTC 2026","passed","Thu Apr 02 16:43:04 UTC 2026","Get entity","Courses","",""
"","21","Create file","LMS service","Thu Apr 02 16:43:07 UTC 2026","passed","Thu Apr 02 16:43:07 UTC 2026","Create entity","Files","",""
