"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Wed Mar 11 16:12:01 UTC 2026","passed","Wed Mar 11 16:12:01 UTC 2026","Get entity","Users","",""
"","547","Create user","LMS service","Wed Mar 11 16:11:59 UTC 2026","passed","Wed Mar 11 16:12:00 UTC 2026","Create entity","Users","",""
"","292","Update exercise","LMS service","Wed Mar 11 16:11:54 UTC 2026","passed","Wed Mar 11 16:11:55 UTC 2026","Update entity","Exercises","",""
"","25","Create exercise","LMS service","Wed Mar 11 16:11:54 UTC 2026","passed","Wed Mar 11 16:11:54 UTC 2026","Create entity","Exercises","",""
"","16","Get file","LMS service","Wed Mar 11 16:11:57 UTC 2026","passed","Wed Mar 11 16:11:57 UTC 2026","Get entity","Files","",""
"","265","Create file with empty directory","LMS service","Wed Mar 11 16:11:59 UTC 2026","passed","Wed Mar 11 16:11:59 UTC 2026","Validate entity","Files","",""
"","264","Create file with empty filename","LMS service","Wed Mar 11 16:11:58 UTC 2026","passed","Wed Mar 11 16:11:59 UTC 2026","Validate entity","Files","",""
"","32","Get courses","LMS service","Wed Mar 11 16:11:53 UTC 2026","passed","Wed Mar 11 16:11:53 UTC 2026","Get entities","Courses","",""
"","31","Create course","LMS service","Wed Mar 11 16:11:53 UTC 2026","passed","Wed Mar 11 16:11:53 UTC 2026","Get entity","Courses","",""
"","293","Create user","LMS service","Wed Mar 11 16:12:00 UTC 2026","passed","Wed Mar 11 16:12:00 UTC 2026","Create entity","Users","",""
"","268","Get file with incorrect file id","LMS service","Wed Mar 11 16:11:59 UTC 2026","passed","Wed Mar 11 16:12:00 UTC 2026","Validate entity","Files","",""
"","29","Delete file","LMS service","Wed Mar 11 16:11:58 UTC 2026","passed","Wed Mar 11 16:11:58 UTC 2026","Delete entity","Files","",""
"","559","Login with correct email and password","LMS service","Wed Mar 11 16:11:51 UTC 2026","passed","Wed Mar 11 16:11:52 UTC 2026","Login","Authentication","",""
"","21","Get exercises","LMS service","Wed Mar 11 16:11:56 UTC 2026","passed","Wed Mar 11 16:11:56 UTC 2026","Get entities","Exercises","",""
"","269","Create file","LMS service","Wed Mar 11 16:11:57 UTC 2026","passed","Wed Mar 11 16:11:57 UTC 2026","Create entity","Files","",""
"","312","Update course","LMS service","Wed Mar 11 16:11:52 UTC 2026","passed","Wed Mar 11 16:11:52 UTC 2026","Update entity","Courses","",""
"","16","Get exercise","LMS service","Wed Mar 11 16:11:55 UTC 2026","passed","Wed Mar 11 16:11:55 UTC 2026","Get entity","Exercises","",""
"","292","Delete exercise","LMS service","Wed Mar 11 16:11:56 UTC 2026","passed","Wed Mar 11 16:11:56 UTC 2026","Delete entity","Exercises","",""
"","560","Create user","LMS service","Wed Mar 11 16:12:00 UTC 2026","passed","Wed Mar 11 16:12:00 UTC 2026","Create entity","Users","",""
